"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"18","Graduation","Married",41850,51,53,5,19,2,13,4,3,3,0,3,8,"False","False","False","False","False","False","False",2,1,0,4,44,726819,96,6,16,50,0,726768
"19","Graduation","Together",37760,20,84,5,38,150,12,28,2,4,1,6,7,"False","False","False","False","False","False","False",0,1,0,2,78,724385,317,11,28.8,18.2,0,724365
"20","Master","Married",76995,91,1012,80,498,0,16,176,2,11,4,9,5,"False","False","False","True","False","False","False",1,1,0,3,75,725633,1782,24,74.2,8.3,1,725542
"21","2n Cycle","Single",33812,86,4,17,19,30,24,39,2,2,1,3,6,"False","False","False","False","False","False","False",1,0,0,2,39,734520,133,6,22.2,33.3,0,734434
"22","Graduation","Married",37040,41,86,2,73,69,38,48,1,4,2,5,8,"False","False","False","False","False","False","False",0,1,0,2,42,732785,316,11,28.7,9.1,0,732744
"23","Graduation","Married",2447,42,1,1,1725,1,1,1,15,0,28,0,1,"False","False","False","False","False","False","False",1,1,0,3,45,733728,1730,28,61.8,53.6,0,733686
"24","PhD","Married",58607,63,867,0,86,0,0,19,3,2,3,9,8,"False","True","False","False","False","False","False",1,1,0,3,75,727185,972,14,69.4,21.4,1,727122
"25","PhD","Married",65324,0,384,0,102,21,32,5,3,6,2,9,4,"False","False","False","False","False","False","False",1,1,0,3,70,731902,544,17,32,17.6,0,731902
"26","Graduation","Together",40689,69,270,3,27,39,6,99,7,7,1,5,8,"False","False","False","False","False","False","False",1,1,0,3,73,729286,444,13,34.2,53.8,0,729217
"27","Graduation","Single",18589,89,6,4,25,15,12,13,2,2,1,3,7,"False","False","False","False","False","False","False",0,0,0,1,55,735189,75,6,12.5,33.3,0,735100
"28","Graduation","Married",53359,4,173,4,30,3,6,41,4,5,1,4,7,"False","False","False","False","False","False","False",2,1,0,4,48,725938,257,10,25.7,40,0,725934
"29","Graduation","Single",51381.5,19,5,1,3,3,263,362,0,27,0,0,1,"False","False","False","False","False","False","False",1,0,0,2,38,728584,637,27,23.6,0,0,728565
"30","Graduation","Married",38360,26,36,2,42,20,21,10,2,2,1,4,3,"False","False","False","False","False","False","False",1,1,0,3,35,724477,131,7,18.7,28.6,0,724451
"31","PhD","Married",84618,96,684,100,801,21,66,0,1,6,9,10,2,"False","False","True","False","False","False","False",0,1,0,2,59,727580,1672,25,66.9,4,1,727484
"32","Master","Divorced",10979,34,8,4,10,2,2,4,2,3,0,3,5,"False","False","False","False","False","False","False",0,0,0,1,35,727764,30,6,5,33.3,0,727730
"33","Master","Together",38620,56,112,17,44,34,22,89,1,2,5,3,3,"False","False","False","False","False","False","False",0,1,0,2,61,731782,318,10,31.8,10,0,731726
"34","Graduation","Together",40548,31,110,0,5,2,0,3,2,2,1,4,5,"False","True","False","False","False","False","False",1,1,0,3,54,731994,120,7,17.1,28.6,1,731963
"35","PhD","Divorced",46610,8,96,12,96,33,22,43,6,4,1,6,6,"False","False","False","False","False","False","True",2,0,0,3,72,725054,302,11,27.5,54.5,1,725046
"36","Master","Married",68657,4,482,34,471,119,68,22,1,3,5,9,7,"False","False","False","False","False","False","False",0,1,0,2,78,728584,1196,17,70.4,5.9,0,728580
"37","Master","Single",49389,55,40,0,19,2,1,3,1,2,0,3,7,"False","False","False","False","False","False","False",2,0,0,3,73,725115,65,5,13,20,0,725060
"38","PhD","Married",67353,37,702,17,151,0,8,35,5,5,6,12,2,"False","False","False","False","False","False","False",1,1,0,3,54,724263,913,23,39.7,21.7,0,724226
"39","2n Cycle","Married",23718,76,6,3,14,15,7,36,3,3,1,2,7,"False","False","False","False","False","False","False",1,1,0,3,48,734946,81,6,13.5,50,0,734870
"40","Graduation","Widow",42429,99,55,0,6,2,0,4,2,1,1,3,5,"False","False","False","False","False","False","False",1,0,0,2,51,731871,67,5,13.4,40,0,731772
"41","PhD","Divorced",48948,53,437,8,206,160,49,42,2,7,10,5,6,"True","False","False","False","False","False","True",0,0,0,1,81,735523,902,22,41,9.1,2,735470
"42","Graduation","Married",80011,3,421,76,536,82,178,102,2,8,6,5,4,"False","False","False","False","False","False","False",1,1,0,3,44,725237,1395,19,73.4,10.5,0,725234
"43","Master","Married",20559,88,13,1,29,3,0,7,2,2,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,39,731477,53,5,10.6,40,0,731389
"44","Graduation","Together",21994,4,9,0,6,3,1,3,1,0,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,67,726819,22,3,7.3,33.3,0,726815
"45","PhD","Single",51381.5,80,81,11,50,3,2,39,1,1,3,4,2,"False","False","False","False","False","False","False",0,0,0,1,65,733789,186,8,23.2,12.5,0,733709
"46","Master","Married",7500,19,3,1,10,3,2,12,3,2,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,49,734916,31,5,6.2,60,0,734897
"47","Graduation","Single",79941,72,123,164,266,227,30,174,1,2,4,9,1,"False","False","False","False","False","False","False",0,0,0,1,48,725541,984,15,65.6,6.7,0,725469
"48","2n Cycle","Married",7500,24,3,18,14,15,22,50,3,3,1,3,9,"False","False","False","False","False","False","True",0,1,0,2,28,732328,122,7,17.4,42.9,1,732304
"49","Graduation","Together",41728,92,13,6,15,3,5,13,1,2,0,2,10,"False","False","False","False","False","False","False",1,1,0,3,56,727033,55,4,13.8,25,0,726941
"50","Graduation","Single",51381.5,96,48,5,48,6,10,7,3,2,1,4,6,"False","False","False","False","False","False","False",3,0,0,4,73,735554,124,7,17.7,42.9,0,735458
"51","PhD","Married",72550,39,826,50,317,50,38,38,9,5,2,12,8,"False","False","False","False","False","False","False",2,1,0,4,70,732693,1319,19,69.4,47.4,0,732654
"52","Graduation","Widow",65486,29,245,19,125,37,67,14,1,4,2,10,2,"False","False","False","False","False","False","False",1,0,0,2,67,731416,507,16,31.7,6.2,0,731387
"53","Master","Married",79143,2,650,37,780,27,167,32,1,6,9,13,3,"False","False","False","False","False","False","False",0,1,0,2,60,731690,1693,28,60.5,3.6,0,731688
"54","Graduation","Single",35790,54,12,6,20,30,1,3,2,2,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,47,735189,72,5,14.4,40,0,735135
"55","Graduation","Divorced",82582,54,510,120,550,156,40,241,1,4,9,7,1,"True","False","False","True","False","False","True",0,0,0,1,47,733212,1617,20,80.8,5,3,733158
"56","Graduation","Married",66373,57,328,9,124,12,24,109,7,4,2,10,3,"False","False","False","False","False","False","False",2,1,0,4,46,731385,606,16,37.9,43.8,0,731328
"57","Master","Together",82384,55,984,51,432,180,120,190,1,3,10,13,1,"False","False","True","False","False","False","True",0,1,0,2,69,728676,1957,26,75.3,3.8,2,728621
"58","Graduation","Divorced",70287,30,295,35,482,121,120,40,1,5,5,10,3,"False","False","False","False","False","False","True",0,0,0,1,58,735099,1093,20,54.6,5,1,735069
"59","Graduation","Single",27938,31,13,0,8,2,1,5,1,1,0,4,3,"False","False","False","False","False","False","False",1,0,0,2,36,725602,29,5,5.8,20,0,725571
"60","Graduation","Single",51381.5,57,11,3,22,2,2,6,2,2,0,3,6,"False","False","False","False","False","False","False",1,0,0,2,42,729559,46,5,9.2,40,0,729502
"61","PhD","Married",55954,63,447,0,28,0,0,43,3,8,2,6,7,"False","False","False","False","False","False","False",1,1,0,3,56,734765,518,16,32.4,18.8,0,734702
"62","Master","Single",75777,12,712,26,538,69,13,80,1,3,6,11,1,"False","True","True","False","False","False","True",0,0,0,1,42,734277,1438,20,71.9,5,3,734265
"63","Graduation","Together",66653,18,452,18,102,16,18,6,4,4,2,12,3,"False","False","False","False","False","False","False",2,1,0,4,49,733120,612,18,34,22.2,0,733102
"64","Graduation","Single",61823,26,523,7,134,37,14,169,4,8,2,10,7,"False","False","False","False","False","False","False",1,0,0,2,72,729314,884,20,44.2,20,0,729288
"65","PhD","Widow",67680,8,546,0,48,0,6,6,1,7,3,8,5,"False","False","False","False","False","False","False",1,0,0,2,73,731751,606,18,33.7,5.6,0,731743
"66","Graduation","Together",70666,29,398,40,367,119,122,30,1,7,4,4,4,"False","False","False","False","False","False","False",0,1,0,2,76,733394,1076,15,71.7,6.7,0,733365
"67","Graduation","Married",25721,75,1,3,6,3,6,15,1,1,1,2,7,"False","False","False","False","False","False","True",1,1,0,3,53,728129,34,4,8.5,25,1,728054
"68","Graduation","Together",32474,0,10,0,1,0,0,0,1,1,0,2,7,"False","False","False","False","False","False","False",2,1,0,4,57,731782,11,3,3.7,33.3,0,731782
"69","2n Cycle","Single",88194,19,688,14,309,201,24,38,1,11,10,10,5,"True","False","False","True","False","False","True",1,0,0,2,45,728921,1274,31,41.1,3.2,3,728902
"70","Graduation","Together",69096,4,247,49,159,7,82,109,1,5,2,10,4,"False","False","False","False","False","False","False",1,1,0,3,66,725815,653,17,38.4,5.9,0,725811
"71","Graduation","Together",74854,90,856,59,487,58,29,73,7,2,5,5,5,"False","False","False","False","False","False","False",3,1,0,5,54,732907,1562,12,130.2,58.3,0,732817
"72","Master","Married",66991,1,496,36,460,189,60,12,3,4,8,6,3,"False","False","False","False","False","False","False",0,1,0,2,70,731659,1253,18,69.6,16.7,0,731658
"73","2n Cycle","Married",51381.5,25,25,3,43,17,4,17,3,3,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,51,730563,109,6,18.2,50,0,730538
"74","Graduation","Married",65031,29,258,107,291,84,37,86,4,10,3,13,7,"False","False","False","False","False","False","False",1,1,0,3,65,729651,863,26,33.2,15.4,0,729622
"75","PhD","Married",60631,88,565,6,65,0,6,19,5,9,2,8,7,"False","True","False","False","False","False","False",2,1,0,4,49,734003,661,19,34.8,26.3,1,733915
"76","Graduation","Married",28332,58,14,10,13,4,15,9,1,2,1,4,2,"False","False","False","False","False","False","False",0,1,0,2,72,724872,65,7,9.3,14.3,0,724814
"77","Graduation","Divorced",40246,68,2,1,6,2,1,1,1,1,0,2,6,"False","False","False","False","False","False","False",1,0,0,2,47,728646,13,3,4.3,33.3,0,728578
"78","Master","Married",75251,34,721,111,925,97,18,18,1,7,6,5,5,"False","False","False","False","False","False","True",0,1,0,2,52,725846,1890,18,105,5.6,1,725812
"79","Graduation","Single",75825,40,1032,105,779,137,105,51,0,5,8,9,4,"True","False","False","False","False","False","True",0,0,0,1,48,731263,2209,22,100.4,0,2,731223
"80","2n Cycle","Together",26326,12,1,0,5,0,3,9,1,0,0,3,3,"False","False","False","False","False","True","False",0,1,0,2,48,734215,18,3,6,33.3,0,734203
"81","Graduation","Together",56046,9,577,0,64,0,0,51,2,10,1,8,8,"True","False","False","False","False","False","True",0,1,0,2,59,735189,692,19,36.4,10.5,2,735180
"82","Graduation","Single",29760,87,64,4,68,7,5,17,4,3,1,4,8,"False","False","False","False","False","False","False",1,0,0,2,39,725115,165,8,20.6,50,0,725028
"83","Graduation","Married",26304,5,4,1,5,2,0,4,1,1,0,2,7,"False","False","False","False","False","False","False",1,1,0,3,55,727368,16,3,5.3,33.3,0,727363
"84","2n Cycle","Married",23559,87,25,5,19,7,0,23,3,3,0,3,7,"False","False","False","False","False","False","False",1,1,0,3,51,734643,79,6,13.2,50,0,734556
"85","Master","Together",38620,56,112,17,44,34,22,89,1,2,5,3,3,"False","False","False","False","False","False","False",0,1,0,2,61,731782,318,10,31.8,10,0,731726
"86","Graduation","Divorced",81361,18,163,23,424,27,65,76,1,3,10,13,1,"False","False","False","False","False","False","False",0,0,0,1,37,726757,778,26,29.9,3.8,0,726739
"87","Graduation","Married",29440,95,17,8,14,10,4,3,2,1,0,4,7,"False","False","False","False","False","False","False",2,1,0,4,64,731690,56,5,11.2,40,0,731595
"88","Master","Married",36138,48,130,0,16,0,0,5,5,3,1,4,7,"False","True","False","False","False","False","False",2,1,0,4,54,729894,151,8,18.9,62.5,1,729846
"89","Graduation","Single",50388,3,292,6,37,0,3,34,4,6,1,6,7,"False","True","False","True","False","False","True",1,0,0,2,67,725572,372,13,28.6,30.8,3,725569
"90","Graduation","Married",79593,70,350,60,568,110,133,145,1,5,6,7,2,"False","False","True","False","False","False","False",0,1,0,2,51,731416,1366,18,75.9,5.6,1,731346
"91","Graduation","Together",54178,79,135,9,39,4,0,7,1,2,2,5,2,"False","False","False","False","False","False","False",1,1,0,3,57,728249,194,9,21.6,11.1,0,728170
"92","PhD","Married",51381.5,4,230,42,192,49,37,53,12,7,2,8,9,"False","False","False","False","False","False","False",3,1,0,5,67,728676,603,17,35.5,70.6,0,728672
"93","Graduation","Single",51381.5,45,7,0,8,2,0,1,1,1,0,2,7,"False","False","False","False","False","False","False",2,0,0,3,67,725938,18,3,6,33.3,0,725893
"94","Master","Together",51381.5,87,445,37,359,98,28,18,1,2,4,8,1,"False","False","False","False","False","False","False",0,1,0,2,51,727215,985,14,70.4,7.1,0,727128
"95","Master","Single",42394,69,15,2,10,0,1,4,1,1,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,52,727460,32,4,8,25,0,727391
"96","PhD","Married",23626,84,27,2,14,0,0,0,3,3,1,3,5,"False","False","False","False","False","False","False",1,1,0,3,54,727033,43,7,6.1,42.9,0,726949
"97","Graduation","Married",30096,30,5,3,11,12,5,9,1,2,0,3,6,"False","False","False","False","False","False","False",1,1,0,3,41,727764,45,5,9,20,0,727734
"98","Graduation","Widow",47916,72,505,0,26,0,0,75,5,7,4,6,6,"False","True","False","False","False","False","False",1,0,0,2,64,727580,606,17,35.6,29.4,1,727508
"99","Graduation","Divorced",51813,37,51,2,7,0,1,2,2,2,0,3,7,"False","False","False","False","False","False","False",2,0,0,3,52,731812,63,5,12.6,40,0,731775
"100","2n Cycle","Married",78497,44,207,26,447,75,0,223,1,5,7,12,2,"False","False","False","True","False","False","False",0,1,0,2,73,735220,978,24,40.8,4.2,1,735176
"101","PhD","Married",50150,32,135,46,92,65,61,11,2,5,2,7,5,"False","False","False","False","False","False","False",0,1,0,2,41,728463,410,14,29.3,14.3,0,728431
"102","2n Cycle","Single",47823,0,53,1,5,2,1,10,2,2,0,3,8,"False","False","False","False","False","False","False",1,0,0,2,64,727338,72,5,14.4,40,0,727338
"103","PhD","Single",34554,43,41,1,6,2,0,5,2,2,0,3,6,"False","False","False","False","False","False","False",1,0,0,2,65,724903,55,5,11,40,0,724860
"104","Graduation","Together",85693,59,386,172,183,185,132,111,2,9,5,11,5,"False","False","False","False","False","False","False",1,1,0,3,45,728524,1169,25,46.8,8,0,728465
"105","PhD","Married",65846,68,562,81,276,80,40,81,1,6,3,6,4,"False","False","False","False","False","False","False",0,1,0,2,79,729590,1120,15,74.7,6.7,0,729522
"106","Graduation","Married",87195,35,217,76,690,50,26,38,1,3,11,5,1,"False","False","False","False","False","False","True",0,1,0,2,65,732877,1097,19,57.7,5.3,1,732842
"107","Basic","Together",24594,94,1,3,6,10,0,9,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,45,731933,29,4,7.2,25,0,731839
"108","Graduation","Married",49096,15,144,1,32,2,1,7,4,4,1,4,7,"False","False","False","False","False","False","False",2,1,0,4,60,726910,187,9,20.8,44.4,0,726895
"109","Graduation","Married",52413,56,295,106,271,75,98,65,4,6,4,12,6,"False","False","False","False","False","False","False",2,1,0,4,55,735158,910,22,41.4,18.2,0,735102
"110","Graduation","Single",38557,17,76,3,31,4,4,27,2,3,1,3,7,"False","False","False","False","False","False","False",1,0,0,2,46,728646,145,7,20.7,28.6,0,728629
"111","Master","Married",89058,18,454,194,106,31,22,43,1,5,4,4,2,"False","False","False","False","False","False","False",0,1,0,2,64,733029,850,13,65.4,7.7,0,733011
"112","Graduation","Together",77298,46,425,115,292,23,35,79,1,6,6,11,3,"False","False","False","False","False","False","False",1,1,0,3,45,734885,969,23,42.1,4.3,0,734839
"113","PhD","Single",68126,40,1332,17,311,23,51,86,1,7,4,5,9,"False","True","False","False","False","False","True",0,0,0,1,33,731963,1820,16,113.8,6.2,2,731923
"114","Master","Together",57288,27,527,0,21,0,0,60,3,8,1,8,6,"False","True","False","False","False","False","False",1,1,0,3,61,726637,608,17,35.8,17.6,1,726610
"115","Graduation","Single",86037,95,490,44,125,29,20,22,1,6,7,11,3,"False","True","True","False","False","False","True",0,0,0,1,33,735189,730,24,30.4,4.2,3,735094
"116","PhD","Married",43974,19,378,0,101,0,0,72,5,6,4,6,7,"False","False","False","False","False","False","False",1,1,0,3,44,731202,551,16,34.4,31.2,0,731183
"117","Graduation","Single",50785,27,64,1,21,0,1,27,2,2,1,3,6,"False","False","False","False","False","False","False",2,0,0,3,62,732024,114,6,19,33.3,0,731997
"118","Graduation","Married",90765,25,547,99,812,151,82,33,0,4,6,5,1,"False","False","True","True","False","False","False",0,1,0,2,54,727154,1724,15,114.9,0,2,727129
"119","2n Cycle","Married",36550,74,47,90,94,123,103,120,5,9,1,5,9,"False","False","False","False","False","False","False",1,1,0,3,46,728949,577,15,38.5,33.3,0,728875
"120","2n Cycle","Together",30753,85,12,5,25,0,9,30,2,1,1,3,5,"False","False","False","False","False","False","False",2,1,0,4,57,731721,81,5,16.2,40,0,731636
"121","Graduation","Together",21918,37,1,6,7,11,5,3,2,2,0,3,6,"False","False","False","False","False","False","False",1,1,0,3,55,730502,33,5,6.6,40,0,730465
"122","Master","Together",56129,65,320,48,133,39,72,48,4,6,2,10,4,"False","False","False","False","False","False","False",1,1,0,3,71,728463,660,18,36.7,22.2,0,728398
"123","Master","Single",32557,13,34,3,29,0,4,10,3,2,1,3,5,"False","False","False","False","False","False","True",1,0,0,2,57,727123,80,6,13.3,50,1,727110
"124","Master","Married",19510,63,9,0,7,3,4,7,2,1,0,3,7,"False","False","False","False","False","False","False",2,1,0,4,39,734215,30,4,7.5,50,0,734152
"125","Graduation","Divorced",30992,83,17,0,14,7,3,2,1,1,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,48,727794,43,4,10.8,25,0,727711
"126","Graduation","Single",101970,69,722,27,102,44,72,168,0,6,8,13,2,"False","True","True","True","False","False","True",0,0,0,1,41,731477,1135,27,42,0,4,731408
"127","2n Cycle","Together",71488,87,162,33,124,40,28,172,2,3,4,7,1,"False","False","False","False","False","False","False",0,1,0,2,59,729314,559,14,39.9,14.3,0,729227
"128","Graduation","Single",79607,37,450,133,951,173,0,216,1,3,6,6,1,"False","False","False","False","False","False","True",0,0,0,1,40,728159,1923,15,128.2,6.7,1,728122
"129","Master","Married",54348,51,70,0,16,0,0,4,2,2,0,4,6,"False","False","False","False","False","False","False",2,1,0,4,71,732846,90,6,15,33.3,0,732795
"130","PhD","Married",51381.5,23,352,0,27,10,0,15,3,6,1,7,6,"False","False","False","False","False","False","False",1,1,0,3,63,731721,404,14,28.9,21.4,0,731698
"131","PhD","Together",77376,72,492,19,110,16,12,12,4,6,3,10,4,"False","False","False","False","False","False","False",2,1,0,4,68,732147,661,19,34.8,21.1,0,732075
"132","Graduation","Married",62998,10,120,58,73,65,89,58,5,5,4,5,5,"False","False","False","False","False","False","False",1,1,0,3,72,724719,463,14,33.1,35.7,0,724709
"133","Master","Alone",61331,42,534,5,47,0,5,41,5,11,1,6,8,"False","False","False","False","False","False","False",2,0,0,3,66,732208,632,18,35.1,27.8,0,732166
"134","Graduation","Married",73448,10,236,106,189,23,41,130,1,7,2,9,4,"False","False","False","False","False","False","False",0,1,0,2,55,732236,725,18,40.3,5.6,0,732226
"135","Graduation","Married",51381.5,96,231,65,196,38,71,124,1,6,5,7,4,"False","False","False","False","False","False","False",1,1,0,3,61,731690,725,18,40.3,5.6,0,731594
"136","PhD","Married",41551,51,220,0,33,3,0,23,5,5,1,5,8,"False","False","False","False","False","False","False",2,1,0,4,60,730594,279,11,25.4,45.5,0,730543
"137","PhD","Together",62981,21,796,14,590,38,44,0,1,4,5,13,3,"False","True","False","False","False","False","False",0,1,0,2,57,729651,1482,22,67.4,4.5,1,729630
"138","Basic","Divorced",9548,31,0,1,3,10,6,9,2,1,0,3,8,"False","False","False","False","False","False","False",1,0,0,2,48,732785,29,4,7.2,50,0,732754
"139","PhD","Married",33762,61,53,1,34,2,0,16,3,2,2,2,8,"False","False","False","False","False","False","False",3,1,0,5,65,733182,106,6,17.7,50,0,733121
"140","PhD","Alone",35860,37,15,0,8,4,2,20,2,1,1,2,5,"True","False","False","False","False","False","True",2,0,0,3,51,728860,49,4,12.2,50,2,728823
"141","PhD","Divorced",36921,74,17,1,12,3,1,4,2,2,0,3,7,"False","False","False","False","False","False","False",2,0,0,3,59,725511,38,5,7.6,40,0,725437
"142","Master","Single",92859,46,962,61,921,52,61,20,1,5,4,12,2,"False","False","False","False","False","False","False",0,0,0,1,32,728707,2077,21,98.9,4.8,0,728661
"143","Master","Together",65104,4,738,0,232,13,20,50,2,3,5,7,7,"False","False","False","False","False","False","True",1,1,0,3,48,730502,1053,15,70.2,13.3,1,730498
"144","Graduation","Married",86111,73,399,28,756,36,40,126,1,5,7,10,2,"False","False","False","False","False","False","False",0,1,0,2,62,728890,1385,22,63,4.5,0,728817
"145","PhD","Single",68352,47,614,16,132,43,33,33,3,8,5,9,6,"False","False","False","False","False","False","False",1,0,0,2,50,725480,871,22,39.6,13.6,0,725433
"146","Graduation","Together",41883,13,32,34,41,73,16,116,3,4,2,3,7,"False","False","False","False","False","False","False",1,1,0,3,36,728921,312,9,34.7,33.3,0,728908
"147","Graduation","Married",59809,36,598,16,141,32,41,49,3,3,3,6,8,"False","False","False","False","False","False","False",2,1,0,4,48,729072,877,12,73.1,25,0,729036
"148","Graduation","Married",23957,47,2,1,18,20,11,16,1,2,0,3,6,"False","False","False","False","False","False","True",1,1,0,3,49,725419,68,5,13.6,20,1,725372
"149","Graduation","Together",38547,49,6,1,10,0,1,4,1,1,0,2,8,"False","False","False","False","False","True","False",1,1,0,3,43,725480,22,3,7.3,33.3,0,725431
"150","2n Cycle","Married",35688,94,73,3,90,12,1,32,7,4,1,4,8,"False","False","False","False","False","False","False",3,1,0,5,51,727672,211,9,23.4,77.8,0,727578
"151","Master","Married",49605,65,42,16,29,12,20,8,1,2,1,4,3,"False","False","False","False","False","False","False",0,1,0,2,58,728098,127,7,18.1,14.3,0,728033
"152","Master","Married",59354,59,295,21,78,39,13,13,1,4,4,7,3,"False","False","False","False","False","False","False",2,1,0,4,71,727063,459,15,30.6,6.7,0,727004
"153","Graduation","Married",65747,96,346,17,48,23,13,13,4,8,1,6,6,"False","True","False","False","False","False","False",1,1,0,3,55,733304,460,15,30.7,26.7,1,733208
"154","2n Cycle","Together",46344,28,233,20,57,8,20,91,4,7,1,5,7,"False","False","False","False","False","False","False",1,1,0,3,52,730472,429,13,33,30.8,0,730444
"155","Graduation","Alone",34176,12,5,7,24,19,14,20,4,3,0,4,6,"False","False","False","False","False","False","False",1,0,0,2,36,731416,89,7,12.7,57.1,0,731404
"156","PhD","Together",61010,57,888,0,57,0,0,76,2,8,5,11,5,"False","False","False","False","False","False","False",1,1,0,3,72,732359,1021,24,42.5,8.3,0,732302
"157","Graduation","Together",69372,10,997,26,269,34,13,42,1,10,4,6,4,"False","True","True","False","False","False","True",0,1,0,2,75,728949,1381,20,69,5,3,728939
"158","Graduation","Single",49967,4,212,6,69,4,12,3,3,6,1,5,7,"False","False","False","False","False","False","False",1,0,0,2,66,732816,306,12,25.5,25,0,732812
"159","Graduation","Single",60199,49,8,1,7,2,0,0,1,0,0,3,4,"False","False","False","False","False","False","False",3,0,0,4,46,731293,18,3,6,33.3,0,731244
"160","Graduation","Together",55375,3,42,11,57,10,28,14,1,1,1,6,2,"False","False","False","False","False","False","False",1,1,0,3,47,729437,162,8,20.2,12.5,0,729434
"161","Graduation","Single",80317,64,536,11,387,149,91,57,1,3,4,10,1,"False","False","False","False","False","False","False",0,0,0,1,69,728402,1231,17,72.4,5.9,0,728338
"162","Master","Single",30523,0,5,0,3,0,0,5,1,1,0,2,7,"False","False","False","False","False","False","False",3,0,0,4,66,735373,13,3,4.3,33.3,0,735373
"163","PhD","Married",70356,20,1349,16,249,43,16,33,2,10,6,9,6,"False","False","False","False","False","False","False",0,1,0,2,79,733789,1706,25,68.2,8,0,733769
"164","Graduation","Married",23228,91,53,3,49,7,4,5,4,3,0,4,8,"False","False","False","False","False","False","False",1,1,0,3,40,734093,121,7,17.3,57.1,0,734002
"165","PhD","Divorced",74165,9,1001,12,240,16,12,12,1,5,4,10,2,"False","False","False","False","False","False","False",0,0,0,1,49,735434,1293,19,68.1,5.3,0,735425
